backen;bäckt;buk;hat;gebacken;peći
befehlen;befiehlt;befahl;hat;befohlen;zapovijedati
beginnen;#;begann;hat;begonnen;početi
beißen;#;biß;hat;gebissen;gristi
bewegen;#;bewog, bewegte;hat;bewogen, bewegt;potaknuti, pokrenuti
biegen;#;bog;hat;gebogen;savijati
bieten;#;bot;hat;geboten;nuditi
binden;#;band;hat;gebunden;vezati
bitten;#;bat;hat;gebeten;moliti
blasen;#;blies;hat;geblasen;puhati
bleiben;#;blieb;ist;geblieben;ostati
braten;brät, bratet;briet;hat;gebraten;peći
brechen;bricht;brach;hat/ist;gebrochen;lomiti, puknuti
brennen;#;brannte;hat;gebrannt;gorjeti
bringen;#;brachte;hat;gebracht;donijeti
denken;#;dachte;hat;gedacht;misliti
dringen;#;drang;hat/ist;gedrungen;uporno zahtijevati, prodrijeti
dürfen;darf;durfte;hat;gedurft;smjeti
empfangen;empfängt;empfing;hat;empfangen;primiti
empfehlen;empfiehlt;empfahl;hat;empfohlen;preporučiti
empfinden;#;empfand;hat;empfunden;osjećati
erlöschen;erlischt;erlosch;ist;erloschen;ugasiti se
essen;ißt;aß;hat;gegessen;jesti
fahren;fährt;fuhr;hat/ist;gefahren;voziti, voziti se
fallen;fällt;fiel;ist;gefallen;pasti
fangen;fängt;fing;hat;gefangen;hvatati
finden;#;fand;hat;gefunden;naći
flechten;flicht;flocht;hat;geflochten;plesti
fliegen;#;flog;hat/ist;geflogen;letjeti
fliehen;#;floh;ist;geflohen;bježati
fließen;#;floß;ist;geflossen;teći
fressen;frißt;fraß;hat;getressen;žderati
frieren;#;fror;hat;gefroren;mrznuti
gebären;gebärt, gebiert;gebar;hat;geboren;roditi
geben;gibt;gab;hat;gegeben;dati
gedeihen;#;gedieh;ist;gedeihen;uspijevati
gehen;#;ging;ist;gegangen;ići
gelingen;#;gelang;ist;gelungen;uspjeti
gelten;gilt;galt;hat;gegolten;vrijediti
genesen;#;genas;ist;genesen;ozdraviti
genießen;#;genoß;hat;genossen;uživati
geraten;gerät;geriet;ist;geraten;dospjeti
geschehen;geschiet;geschah;ist;geschehen;dogoditi se
gewinnen;#;gewann;hat;gewonnen;dobiti nagradu
gießen;#;goß;hat;gegossen;lijevati
gleichen;#;glich;hat;geglichen;biti nalik
gleiten;#;glitt;ist;geglitten;kliziti
graben;gräbt;grub;hat;gegraben;kopati
greifen;#;griff;hat;gegriffen;posegnuti
haben;hast, hat;hatte;hat;gehabt;imati
halten;hält;hielt;hat;gehalten;držati
